Date,Name,Total,UniqueOwners,UniqueRepos,WorkflowRuns,UniqueJobs
"2020-07-01","redhat-developer/openshift-actions/",761,21,52,635,747
"2020-07-24T12:03:36+00:00","redhat-developer/openshift-actions/",554,19,43,390,549
"2020-08-21T12:04:21+00:00","redhat-developer/openshift-actions/",703,20,36,548,592
"2020-09-18T12:06:00+00:00","redhat-developer/openshift-actions/",647,22,44,551,631
"2020-10-16T12:06:28+00:00","redhat-developer/openshift-actions/",893,24,44,742,882
"2020-11-13T12:03:41+00:00","redhat-developer/openshift-actions/",999,35,73,895,951
"2020-12-11T12:14:20+00:00","redhat-actions/buildah-action",155,3,7,155,155
"2020-12-11T12:14:20+00:00","redhat-actions/buildah-build",295,13,17,295,295
"2020-12-11T12:14:20+00:00","redhat-actions/oc-installer",508,17,24,373,508
"2020-12-11T12:14:20+00:00","redhat-actions/oc-login",538,21,30,529,538
"2020-12-11T12:14:20+00:00","redhat-actions/push-to-registry",485,12,24,479,479
"2020-12-11T12:14:20+00:00","redhat-actions/s2i-build",139,4,8,139,139
"2020-12-11T12:14:20+00:00","redhat-developer/openshift-actions",1459,33,75,1122,1308
"2021-01-08T12:10:41+00:00","redhat-actions/buildah-build",719,39,56,682,693
"2021-01-08T12:10:41+00:00","redhat-actions/kn-service-deploy",29,2,3,29,29
"2021-01-08T12:10:41+00:00","redhat-actions/oc-installer",716,20,27,662,716
"2021-01-08T12:10:41+00:00","redhat-actions/oc-login",982,44,57,944,982
"2021-01-08T12:10:41+00:00","redhat-actions/push-to-registry",658,37,54,580,580
"2021-01-08T12:10:41+00:00","redhat-actions/s2i-build",36,3,3,36,36
"2021-01-08T12:10:41+00:00","redhat-developer/openshift-actions",454,15,48,404,426
"2021-02-05T12:05:29+00:00","redhat-actions/buildah-build",863,66,80,736,760
"2021-02-05T12:05:29+00:00","redhat-actions/check-self-hosted-runner",61,2,2,61,61
"2021-02-05T12:05:29+00:00","redhat-actions/common/commit-data",21,1,1,21,21
"2021-02-05T12:05:29+00:00","redhat-actions/oc-installer",1509,25,51,1436,1509
